Question,Option_1,Option_2
Who raps better?,Phyno,Olamide
Who sings better?,Tiwa Savage,Seyi Shay
Who sings better?,Omawumi,Waje
Watch one,Harry Potter,Lord of The Rings
Watch one,How I Met your Mother,Friends
Watch one,Family Guy,The Simpsons
Watch one,Cosby Show,Fresh Prince of Bel Air
Watch one,Papa Ajasco,Fuji House of Commotion
Watch one,Boondocks,South Park
Watch one,Series ,Movies
Who sings better?,Reekado Banks,Korede Bello
Kill one,Jon Snow ,Daenerys
Favourite blogger,Linda Ikeji,Bella Naija
Who is cooler?,Wizkid,Davido
Resurrect one,2 Pac ,Biggie
Who is hotter?,Drake with beard,Drake without beard
Who is hotter?,Eniola Badmus,Chigurl
Who is funnier?,AY ,Ali Baba
Who is funnier?,Basketmouth ,Bovi
Who sings better?,2face ,D'banj
Who acts better?,Jim Iyke ,Ramsey Noah
Save one,Caitlyn Jenner ,Bruce Jenner
Slay in one,TM Lewin ,Hawes and Curtis
Resurrect one,Nelson Mandela ,Martin Luther King
Favourite couple,Rihanna with Chris ,Rihanna with Drake
Save one,Bollywood ,Nollywood
Which is funnier?,Looney Tunes ,Tom and Jerry
Watch one,Batman ,Superman
Favourite music genre,Hiphop ,RnB
Favourite party game,Charades,Time Factor
Who sings better?,Whitney Houston ,Mariah Carey
Favourite Michael Jackson Anthem,Thriller ,Bad
Choose one,Bobriskii ,Denrele
Favourite couple,Ciara with Russel ,Ciara with Future
Star in one,Dragon’s Den,Jerry Springer show
Favourite show,Power ,Empire
Favourite workout,Yoga ,Kickboxing
Favourite movie,Mission Impossible,Godfather
Which Lyon brother are you?,Jamal,Hakeem
Favourite cartoon,Jetson,Filonstone
Star in one,Action flick,Comedy
Star in one,The Apprentice,Big Brother
Date one,a Celebrity ,a President
Dance to,Music of the 90s,Music of the now
Who would win a fight?,Mr Ibu ,Okon Lagos
Who is finer?,Lynxx ,OC Ukeje
Favourite star,Genevieve Nnaji,Omotola
Favourite star,Van Vicker,Patoranking
Favourite star,Timi Dakolo,2Face
Choose one ,Blues,Hip hop
Date one,A footballer,A musician
Who sings better?,Justin Bieber ,Chris Brown
Hang out with one,Kendrick Lamar,Drake
Who is your TV dad?,Uncle Phil (Fresh Prince),Dr. Huxtable (Cosby Show)
Hobnobs and what TV programme?,Love and Hip hop,Wolfe Blitzer
Favourite childhood cartoon,Tom and Jerry,Johnny Bravo
Slay in one,All black trad,All white trad
Who is hotter?,Toke Makinwa,Linda Ikeji
Choose one,Wedding jollof ,Burial jollof
Choose one,Jollof rice ,Fried rice
Choose one,Hard plantain,Soft plantain
Choose one,Kuli kuli,Chin Chin
Choose one,Agbalumo ,Kolanut
Choose one,Kilishi,Dabunama
Choose one,Fried ,Boiled peanuts
Choose one,Agege bread,Sliced bread
How do you eat your shortbread,"Eat some, save for later",Finish up at once
Choose one,Suya with onions,Suya without onions
Choose one,Cereal with warm water,Cereal with cold water
Choose one,Henny and Coke ,Ciroc and Orange Juice
Choose one,Garri with milk,Garri without milk
Choose one,Meatpie,Sausage Roll
Choose one,Zobo,Kunu
Choose one,Gizzard ,BBQ Chicken
Choose one,Puff puff ,Mosa
When do you eat your meat?,First things first,Save it for last
Choose one,Ijebu garri,Yellow garri
Choose one,Chocolate,Vanilla ice-cream
Choose one,Egg roll ,Scotch egg
Choose one,Chocolate cookie,Vanilla filling
Choose one,Custard ,Pap
Kraxx with,Butter spread ,Cheese
Choose one,Fried egg and bread ,French Toast
Choose one,Chicken,Turkey
Digestives and...,Jam/butter,Chocolate spread
Choose one,Beef suya ,Chicken suya
Choose one,White bread ,Brown bread
Choose one,Spring roll ,Samosa
Choose one,Champagne,Cocktails
Choose one,Noodles and boiled egg,Noodles stir fry
Choose one,Chocolate bread,Chocolate cake
Choose one,drink water during,after a meal
Eat your eba,with hands ,with cutlery
Choose one,Stock fish ,Titus
Choose one,Sweet potato,Irish potato
Choose one,Suya,Asun
Choose one,Sugar,Honey
Choose one,Hungry for food,Thirsty for water
Choose one,Evaporated milk,Powdered milk
Choose one,Noodles,Spaghetti
Choose one,Nigerian Jollof,Ghanaian Jollof
